row_index,source_name,field_name,issue_type,severity,message
0,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
1,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
2,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
3,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
4,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
5,combined_common_sample,description,missing_value,warning,Field 'description' is missing/null/empty.
5,combined_common_sample,url,missing_value,warning,Field 'url' is missing/null/empty.
5,combined_common_sample,quality_flags,missing_value,warning,Field 'quality_flags' is missing/null/empty.
5,combined_common_sample,category_l2,missing_value,info,Field 'category_l2' is missing/null/empty.
5,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
5,combined_common_sample,status,missing_value,info,Field 'status' is missing/null/empty.
5,combined_common_sample,owner,missing_value,info,Field 'owner' is missing/null/empty.
5,combined_common_sample,is_search_eligible,missing_value,info,Field 'is_search_eligible' is missing/null/empty.
5,combined_common_sample,search_eligibility_reason,missing_value,info,Field 'search_eligibility_reason' is missing/null/empty.
6,combined_common_sample,url,missing_value,warning,Field 'url' is missing/null/empty.
6,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
7,combined_common_sample,source_id,missing_value,blocking,Field 'source_id' is missing/null/empty.
7,combined_common_sample,category_l2,missing_value,info,Field 'category_l2' is missing/null/empty.
7,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
7,combined_common_sample,status,missing_value,info,Field 'status' is missing/null/empty.
8,combined_common_sample,title,missing_value,blocking,Field 'title' is missing/null/empty.
8,combined_common_sample,category_l2,missing_value,info,Field 'category_l2' is missing/null/empty.
8,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
9,combined_common_sample,combined_record_id,missing_value,blocking,Field 'combined_record_id' is missing/null/empty.
9,combined_common_sample,category_l2,missing_value,info,Field 'category_l2' is missing/null/empty.
9,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
10,combined_common_sample,text_clean,missing_value,blocking,Field 'text_clean' is missing/null/empty.
10,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
11,combined_common_sample,category_l2,missing_value,info,Field 'category_l2' is missing/null/empty.
11,combined_common_sample,category_l3,missing_value,info,Field 'category_l3' is missing/null/empty.
11,combined_common_sample,status,missing_value,info,Field 'status' is missing/null/empty.
11,combined_common_sample,owner,missing_value,info,Field 'owner' is missing/null/empty.
11,combined_common_sample,is_search_eligible,missing_value,info,Field 'is_search_eligible' is missing/null/empty.
11,combined_common_sample,search_eligibility_reason,missing_value,info,Field 'search_eligibility_reason' is missing/null/empty.
