combined_record_id,source_id,source_type,title,description,text,text_clean,category_l1,category_l2,category_l3,status,url,owner,updated_at,quality_flags,is_search_eligible,search_eligibility_reason,searchability_index,dq_status,blocking_issues_count,warning_issues_count
cc-sn-001,sn-1001,servicenow,Submit IT Request,How to open and track IT service requests,raw body text,clean body text,IT Service Management,Requests,,active,https://example.com/servicenow/it-request,IT Service Desk,2026-05-18,clean,yes,eligible,1.0,healthy,0,0
cc-app-001,app-2001,apps,Expense App,Submit and approve expenses,raw expense text,clean expense text,Finance,Expenses,,published,https://example.com/apps/expense,Finance Apps,2026-05-10,clean,yes,eligible,1.0,healthy,0,0
cc-ql-001,ql-3001,quicklinks,HR Policies Quicklink,Shortcut to HR policy library,raw hr text,clean hr text,HR,Policies,,active,https://example.com/quicklinks/hr,HR Portal,2026-04-22,clean,yes,eligible,1.0,healthy,0,0
cc-ml-001,ml-4001,my_learning,Leadership Fundamentals,Core leadership learning module,raw learning text,clean learning text,Learning,Leadership,,active,https://example.com/mylearning/leadership,Learning Team,2026-05-01,clean,yes,eligible,1.0,healthy,0,0
cc-pg-001,pg-5001,pglearn,Data Literacy Pathway,PG Learn pathway for data literacy,raw pg text,clean pg text,Learning,Data,,active,https://example.com/pglearn/data-literacy,PG Learn,2026-03-15,clean,yes,eligible,1.0,healthy,0,0
cc-cn-warn,cn-6001,cms_news,CMS News Update,,raw cms text,clean cms text,News,,,,,,2026-05-05,,,,0.8444,warning,0,3
cc-sn-nourl,sn-1002,servicenow,Password Reset Guide,Reset AD password steps,raw pwd text,clean pwd text,IT,Access,,active,,IT Service Desk,2026-05-12,clean,yes,eligible,0.9333,healthy,0,1
cc-app-fail,,apps,Broken Source ID Record,Missing stable source identifier,raw text,clean text,Finance,,,,https://example.com/apps/broken,Finance Apps,2026-05-08,clean,yes,eligible,0.8667,failed,1,0
cc-ml-fail,ml-4002,my_learning,,Missing title learning item,raw text,clean text,Learning,,,active,https://example.com/mylearning/missing-title,Learning Team,2026-04-30,clean,yes,eligible,0.8667,failed,1,0
,ql-999,quicklinks,Quicklink Missing Combined ID,Quicklink without combined_record_id,raw text,clean text,HR,,,active,https://example.com/quicklinks/no-combined-id,HR Portal,2026-04-01,clean,yes,eligible,0.8667,failed,1,0
cc-pg-fail,pg-5002,pglearn,PGLearn Missing Clean Text,Record without text_clean for search,raw only text,,Learning,Data,,active,https://example.com/pglearn/no-clean,PG Learn,2026-02-20,clean,yes,eligible,0.8667,failed,1,0
cc-cn-opt,cn-6002,cms_news,CMS Governance Note,Internal CMS governance update,raw cms text,clean cms text,Governance,,,,https://example.com/cms/governance,,2026-05-16,clean,,,1.0,healthy,0,0
